date,amount,index
2008/8/20,101746,233
2008/8/21,97226,234
2008/8/22,87432,235
2008/8/23,77120,236
2008/8/24,74634,237
2008/8/25,86910,238
2008/8/26,87646,239
2008/8/27,91092,240
2008/8/28,95392,241
2008/8/29,96993,242
2008/8/30,86554,243
2008/8/31,82957,244
2008/9/1,97409,245
2008/9/2,103952,246
2008/9/3,106182,247
2008/9/4,102442,248
2008/9/5,100790,249
2008/9/6,91242,250
2008/9/7,86212,251
2008/9/8,98215,252
2008/9/9,94190,253
2008/9/10,92194,254
2008/9/11,90492,255
2008/9/12,96529,256
2008/9/13,88375,257
2008/9/14,81216,258
2008/9/15,82834,259
2008/9/16,90597,260
2008/9/17,94027,261
2008/9/18,92295,262
2008/9/19,91938,263
2008/9/20,84915,264
2008/9/21,77082,265
2008/9/22,84486,266
2008/9/23,82943,267
2008/9/24,88125,268
2008/9/25,89756,269
2008/9/26,91283,270
2008/9/27,75648,271
2008/9/28,69952,272
2008/9/29,80498,273
2008/9/30,82045,274
2008/10/1,83149,275
2008/10/2,82586,276
2008/10/3,82552,277
2008/10/4,75917,278
2008/10/5,71360,279
2008/10/6,82204,280
2008/10/7,85061,281
2008/10/8,84928,282
2008/10/9,84825,283
2008/10/10,85334,284
2008/10/11,76946,285
2008/10/12,68815,286
2008/10/13,72313,287
2008/10/14,82117,288
2008/10/15,83394,289
2008/10/16,83206,290
2008/10/17,83058,291
2008/10/18,76098,292
2008/10/19,70635,293
2008/10/20,81370,294
2008/10/21,83061,295
2008/10/22,83019,296
2008/10/23,84448,297
2008/10/24,85826,298
2008/10/25,76609,299
2008/10/26,71515,300
2008/10/27,80312,301
2008/10/28,81968,302
2008/10/29,81739,303
2008/10/30,81656,304
2008/10/31,82421,305
2008/11/1,74737,306
2008/11/2,69915,307
2008/11/3,75569,308
2008/11/4,81343,309
2008/11/5,83194,310
2008/11/6,83476,311
2008/11/7,83225,312
2008/11/8,79075,313
2008/11/9,76023,314
2008/11/10,85543,315
2008/11/11,88872,316
2008/11/12,89350,317
2008/11/13,84873,318
2008/11/14,84629,319
2008/11/15,78029,320
2008/11/16,74069,321
2008/11/17,82127,322
2008/11/18,84101,323
2008/11/19,86785,324
2008/11/20,89629,325
2008/11/21,88930,326
2008/11/22,81006,327
2008/11/23,74420,328
2008/11/24,83090,329
2008/11/25,88991,330
2008/11/26,88411,331
2008/11/27,94618,332
2008/11/28,90978,333
2008/11/29,81490,334
2008/11/30,75542,335
2008/12/1,88738,336
2008/12/2,93712,337
2008/12/3,89382,338
2008/12/4,89467,339
2008/12/5,88386,340
2008/12/6,81977,341
2008/12/7,80591,342
2008/12/8,93233,343
2008/12/9,95710,344
2008/12/10,88294,345
2008/12/11,87639,346
2008/12/12,87084,347
2008/12/13,80319,348
2008/12/14,82429,349
2008/12/15,93706,350
2008/12/16,94421,351
2008/12/17,96321,352
2008/12/18,90125,353
2008/12/19,90834,354
2008/12/20,82568,355
2008/12/21,76108,356
2008/12/22,86126,357
2008/12/23,87320,358
2008/12/24,94168,359
2008/12/25,89118,360
2008/12/26,90743,361
2008/12/27,84765,362
2008/12/28,76828,363
2008/12/29,76027,364
2008/12/30,71474,365
2008/12/31,69840,366
2009/1/1,66886,367
2009/1/2,67757,368
2009/1/3,69622,369
2009/1/4,72497,370
2009/1/5,84697,371
2009/1/6,88913,372
2009/1/7,92778,373
2009/1/8,93930,374
2009/1/9,100048,375
2009/1/10,87199,376
2009/1/11,83126,377
2009/1/12,87229,378
2009/1/13,97439,379
2009/1/14,97433,380
2009/1/15,99193,381
2009/1/16,98453,382
2009/1/17,87014,383
2009/1/18,84242,384
2009/1/19,90267,385
2009/1/20,96796,386
2009/1/21,97099,387
2009/1/22,98999,388
2009/1/23,91334,389
2009/1/24,85292,390
2009/1/25,81557,391
2009/1/26,94468,392
2009/1/27,94161,393
2009/1/28,94646,394
2009/1/29,93378,395
2009/1/30,91809,396
2009/1/31,84132,397
